# ----------------------------------------
# All Web Site Data
# Site Speed Page Timings
# 20230510-20230516
# ----------------------------------------

Page,Avg. Page Load Time (sec),Pageviews,Bounce Rate,% Exit,Page Value
/secure/Dashboard.jspa,5.19,"14,584",16.27%,10.36%,$0.00
/issues/,6.26,"7,475",28.22%,17.61%,$0.00
/secure/MoveIssueUpdateFields.jspa,0.84,"4,988",0.00%,0.24%,$0.00
/secure/Dashboard.jspa?selectPageId=104602,0.00,"3,537",0.00%,0.40%,$0.00
/secure/QuickSearch.jspa,7.24,950,31.53%,23.79%,$0.00
/issues/?filter=-1,9.06,936,28.82%,30.66%,$0.00
/secure/Dashboard.jspa?selectPageId=120007,5.21,604,26.80%,26.32%,$0.00
/secure/CreateIssue!default.jspa,10.63,582,5.49%,3.78%,$0.00
/secure/CreateIssue.jspa,6.81,475,14.29%,9.47%,$0.00
/secure/project/MigratePrioritySchemeProgress.jspa?taskId=943125,0.00,440,0.00%,0.00%,$0.00
/secure/views/bulkedit/BulkChooseOperation!default.jspa,1.37,385,0.00%,0.52%,$0.00
/secure/Dashboard.jspa?selectPageId=127514,0.00,377,13.25%,11.41%,$0.00
/secure/ViewProfile.jspa,2.86,372,12.50%,12.63%,$0.00
/issues/?filter=-2,11.08,354,40.00%,27.68%,$0.00
/secure/project/BrowseProjects.jspa?s=view_projects,6.11,341,25.00%,6.74%,$0.00
/projects/MDE/queues/custom/4495,12.08,324,81.62%,76.54%,$0.00
/secure/ManageFilters.jspa?filterView=favourites,3.35,302,0.00%,1.66%,$0.00
/secure/Dashboard.jspa?selectPageId=128410,0.00,293,5.26%,7.51%,$0.00
/secure/Dashboard.jspa?selectPageId=126902,2.31,292,33.33%,13.36%,$0.00
/secure/Dashboard.jspa?selectPageId=99006,0.00,278,12.90%,8.27%,$0.00
/secure/RapidBoard.jspa?projectKey=XFORCE&rapidView=20361,15.24,259,27.27%,15.83%,$0.00
